group,subgroup,date,date_end,title,deadline,content,resource,assignment,note
Weekly schedule,The causal revolution,2025-01-07,,Reading reaction,11:55 PM,,,assignment/weekly-check-in,
Weekly schedule,The causal revolution,2025-01-08,,Class and lab (in-person),,content/01-content,https://canvas.eee.uci.edu/courses/60371/files/folder/Slides,,
Weekly schedule,The causal revolution,2025-01-14,,Practice assignment 1,11:55 PM,,,,
Weekly schedule,Review of regression analysis,2025-01-14,,Reading reaction,11:55 PM,,,assignment/weekly-check-in,
Weekly schedule,Review of regression analysis,2025-01-15,,Class and lab (in-person),,content/02-content,https://canvas.eee.uci.edu/files/25241173/download?download_frd=1,,
Weekly schedule,Review of regression analysis,2025-01-21,,Practice assignment 2,11:55 PM,,,,
Weekly schedule,Interactions and transformations,2025-01-21,,Reading reaction,11:55 PM,,,assignment/weekly-check-in,
Weekly schedule,Interactions and transformations,2025-01-22,,Class and lab (in-person),,content/03-content,https://canvas.eee.uci.edu/files/25286437/download?download_frd=1,,
Weekly schedule,Interactions and transformations,2025-01-28,,Practice assignment 3,11:55 PM,,,,
Weekly schedule,Discrete outcomes and regression adjustment,2025-01-28,,Reading reaction,11:55 PM,,,assignment/weekly-check-in,
Weekly schedule,Discrete outcomes and regression adjustment,2025-01-29,,Class and lab (in-person),,content/04-content,https://canvas.eee.uci.edu/files/25377205/download?download_frd=1,,
Weekly schedule,Discrete outcomes and regression adjustment,2025-02-04,,Data-analytic memo 1,11:55 PM,,,,
Weekly schedule,"Fixed effects, value added, and randomized experiments",2025-02-04,,Reading reaction,11:55 PM,,,assignment/weekly-check-in,
Weekly schedule,"Fixed effects, value added, and randomized experiments",2025-02-05,,Class and lab (in-person),,content/05-content,https://canvas.eee.uci.edu/courses/60371/files/folder/Slides,,
Weekly schedule,Sample size calculations and clustered data,2025-02-11,,Reading reaction,11:55 PM,,,assignment/weekly-check-in,
Weekly schedule,Sample size calculations and clustered data,2025-02-12,,Class and lab (in-person),,content/06-content,https://canvas.eee.uci.edu/files/25561784/download?download_frd=1,,
Weekly schedule,Sample size calculations and clustered data,2025-02-18,,Data-analytic memo 2,11:55 PM,,,,
Weekly schedule,Instrumental variables,2025-02-18,,Reading reaction,11:55 PM,,,assignment/weekly-check-in,
Weekly schedule,Instrumental variables,2025-02-19,,Class and lab (in-person),,content/07-content,https://canvas.eee.uci.edu/files/25640172/download?download_frd=1,,
Weekly schedule,Regression discontinuity,2025-02-25,,Reading reaction,11:55 PM,,,assignment/weekly-check-in,
Weekly schedule,Regression discontinuity,2025-02-26,,Class and lab (in-person),,content/08-content,https://canvas.eee.uci.edu/files/25737763/download?download_frd=1,,
Weekly schedule,Regression discontinuity,2025-03-04,,Data-analytic memo 3,11:55 PM,,,,
Weekly schedule,Difference-in-differences,2025-03-04,,Reading reaction,11:55 PM,,,assignment/weekly-check-in,
Weekly schedule,Difference-in-differences,2025-03-05,,Class and lab (in-person),11:55 PM,content/09-content,https://canvas.eee.uci.edu/files/26004781/download?download_frd=1,,
Weekly schedule,Difference-in-differences,2025-03-11,,Data-analytic memo 4,11:55 PM,,,,
Weekly schedule,Open science and multiple hypothesis testing,2025-03-11,,Reading reaction,11:55 PM,,,assignment/weekly-check-in,
Weekly schedule,Open science and multiple hypothesis testing,2025-03-12,,Class and lab (in-person),,content/10-content,https://canvas.eee.uci.edu/files/25950278/download?download_frd=1,,
Exam,In-class exam,2025-02-12,,Midterm exam,,,,,
Final project,Milestones and check-ins,2025-02-02,,Milestone 1,11:55 PM,,,,
Final project,Milestones and check-ins,2025-02-11,,1:1 Check-in,5:00 PM,,,,
Final project,Milestones and check-ins,2025-03-02,,Milestone 2,11:55 PM,,,,
Final project,Final paper,2025-03-17,2025-03-21,Final paper,11:55 PM,,,,
Surveys and evaluations,Introducing yourself,2025-01-07,,Survey 1,11:55 PM,,,,
Surveys and evaluations,Plus delta,2025-02-09,,Survey 2,11:55 PM,,,,
Surveys and evaluations,Course evaluation,2025-03-17,2025-03-21,EEE,11:55 PM,,,,
